2 10 100 0.840000	0.096632 0.009952	0.990649 0.001970	0.012905 0.009081	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.850000	0.101466 0.008340	0.989697 0.001679	0.001930 0.009652	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.860000	0.092023 0.008560	0.991522 0.001555	0.015454 0.009198	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.870000	0.091038 0.005677	0.991708 0.001032	0.012278 0.004049	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.880000	0.092287 0.007225	0.991477 0.001324	0.012312 0.005358	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.890000	0.093517 0.007386	0.991248 0.001384	0.012201 0.004565	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.900000	0.093098 0.006797	0.991327 0.001277	0.013858 0.007106	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.910000	0.092114 0.003242	0.991513 0.000596	0.012250 0.004214	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.920000	0.093796 0.007731	0.991195 0.001470	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.930000	0.094121 0.007275	0.991134 0.001366	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.940000	0.084285 0.009214	0.992885 0.001573	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.950000	0.091527 0.008807	0.991609 0.001610	0.011994 0.004852	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.960000	0.091806 0.009613	0.991560 0.001779	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.970000	0.091892 0.009716	0.991541 0.001782	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.980000	0.091053 0.009470	0.991698 0.001707	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.990000	0.092772 0.009871	0.991376 0.001822	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.000000	0.090950 0.009529	0.991716 0.001755	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.010000	0.089458 0.006967	0.991990 0.001238	0.001997 0.009985	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.020000	0.092293 0.009911	0.991469 0.001796	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.030000	0.092256 0.006641	0.991484 0.001220	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.040000	0.096023 0.007681	0.990770 0.001473	0.001979 0.009893	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.050000	0.093526 0.008514	0.991239 0.001592	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.060000	0.096966 0.009842	0.990584 0.001917	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.070000	0.093350 0.006815	0.991279 0.001294	0.001999 0.009996	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.080000	0.092148 0.009449	0.991498 0.001762	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.090000	0.088268 0.009325	0.992197 0.001645	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.100000	0.089111 0.007960	0.992051 0.001401	0.001986 0.009932	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.110000	0.092303 0.009495	0.991469 0.001788	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.120000	0.091853 0.009774	0.991551 0.001792	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.130000	0.089003 0.009550	0.992062 0.001705	0.001994 0.009972	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.140000	0.084137 0.009757	0.992907 0.001626	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.150000	0.089015 0.008478	0.992066 0.001492	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.160000	0.092883 0.009467	0.991363 0.001753	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.170000	0.090996 0.004880	0.991715 0.000891	0.001837 0.009184	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.180000	0.091578 0.006252	0.991609 0.001144	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.190000	0.091420 0.009919	0.991629 0.001786	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.200000	0.087029 0.007067	0.992418 0.001217	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.210000	0.094949 0.009172	0.990970 0.001738	0.001993 0.009963	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.220000	0.086726 0.009394	0.992464 0.001644	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.230000	0.092146 0.008752	0.991498 0.001605	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.240000	0.090002 0.009656	0.991885 0.001721	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.250000	0.094138 0.009916	0.991128 0.001884	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.260000	0.095267 0.008910	0.990912 0.001687	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.270000	0.094899 0.009238	0.990984 0.001736	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.280000	0.092316 0.009518	0.991464 0.001776	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.290000	0.090397 0.009816	0.991817 0.001782	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.300000	0.095628 0.008496	0.990847 0.001616	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.310000	0.092705 0.005202	0.991403 0.000966	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.320000	0.085678 0.008872	0.992643 0.001508	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.330000	0.091369 0.009450	0.991641 0.001738	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.340000	0.092330 0.009764	0.991460 0.001803	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.350000	0.093138 0.009161	0.991314 0.001731	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.360000	0.084434 0.009936	0.992856 0.001687	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.370000	0.089705 0.009909	0.991940 0.001739	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.380000	0.089142 0.008555	0.992045 0.001518	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.390000	0.090513 0.009460	0.991797 0.001703	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.400000	0.090514 0.006698	0.991801 0.001199	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.410000	0.084019 0.006991	0.992934 0.001195	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.420000	0.095094 0.006961	0.990949 0.001317	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.430000	0.086333 0.005541	0.992542 0.000964	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.440000	0.088643 0.006539	0.992134 0.001151	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.450000	0.090269 0.009197	0.991837 0.001663	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.460000	0.092147 0.005852	0.991504 0.001078	0.001973 0.009866	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.470000	0.090147 0.009986	0.991860 0.001780	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.480000	0.089285 0.009451	0.992010 0.001694	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.490000	0.089992 0.009908	0.991888 0.001739	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.500000	0.089922 0.004899	0.991911 0.000891	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.510000	0.096493 0.009202	0.990675 0.001766	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.520000	0.085332 0.009189	0.992707 0.001547	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.530000	0.093615 0.009363	0.991221 0.001754	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.540000	0.088691 0.009843	0.992122 0.001778	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.550000	0.091028 0.009555	0.991699 0.001735	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.560000	0.084710 0.007020	0.992819 0.001193	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.570000	0.091296 0.009685	0.991653 0.001734	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.580000	0.091811 0.009048	0.991560 0.001628	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.590000	0.090919 0.008276	0.991726 0.001489	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.600000	0.090890 0.009960	0.991725 0.001840	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.610000	0.081303 0.008951	0.993378 0.001464	0.000000 0.000000	0.001669 0.008343	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.620000	0.088831 0.009369	0.992096 0.001673	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.630000	0.091041 0.009359	0.991699 0.001707	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.640000	0.086510 0.008851	0.992504 0.001500	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.650000	0.087034 0.008036	0.992418 0.001396	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.660000	0.086495 0.009370	0.992505 0.001630	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.670000	0.086265 0.009007	0.992546 0.001560	0.001952 0.009762	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.680000	0.087208 0.006947	0.992390 0.001218	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.690000	0.092500 0.008924	0.991433 0.001636	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.700000	0.089349 0.007383	0.992008 0.001329	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.710000	0.089850 0.008518	0.991915 0.001524	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.720000	0.089787 0.008734	0.991924 0.001565	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.730000	0.084501 0.009960	0.992843 0.001658	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.740000	0.088328 0.008718	0.992185 0.001563	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.750000	0.087639 0.008656	0.992306 0.001514	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.760000	0.090641 0.008799	0.991775 0.001586	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
