4 32 10 0.000000	0.999979 0.000063	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	0.000042 0.000127	
4 32 10 0.010000	0.999998 0.000004	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.020000	1.000000 0.000001	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.030000	0.999011 0.002965	0.001974 0.005922	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.040000	0.995110 0.004781	0.009751 0.009508	0.001017 0.003051	0.000609 0.001828	0.001239 0.003717	0.000795 0.002384	0.000906 0.002717	0.000721 0.002162	0.000758 0.002273	0.000943 0.002828	0.000906 0.002717	
4 32 10 0.050000	0.998010 0.004824	0.003971 0.009624	0.000097 0.000291	0.000097 0.000291	0.000218 0.000363	0.000465 0.001396	0.000000 0.000000	0.000000 0.000000	0.000097 0.000291	0.000097 0.000291	0.000097 0.000291	
4 32 10 0.060000	0.998986 0.002985	0.002026 0.005962	0.000039 0.000116	0.000039 0.000116	0.000039 0.000116	0.000000 0.000000	0.000039 0.000116	0.000039 0.000116	0.000000 0.000000	0.000000 0.000000	0.000039 0.000116	
4 32 10 0.070000	0.998212 0.004901	0.003567 0.009782	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.080000	0.999355 0.001829	0.001289 0.003655	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000071 0.000213	0.000051 0.000152	0.000000 0.000000	0.000071 0.000213	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.090000	0.998333 0.004513	0.003326 0.009005	0.000000 0.000000	0.000083 0.000249	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000160 0.000480	0.000051 0.000154	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.100000	1.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.110000	0.998684 0.003947	0.002626 0.007879	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.120000	0.999985 0.000042	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.130000	0.998483 0.004552	0.003028 0.009084	0.001148 0.003443	0.000578 0.001733	0.000250 0.000750	0.001546 0.004639	0.000407 0.001220	0.000000 0.000000	0.000920 0.002759	0.000464 0.001391	0.000578 0.001733	
4 32 10 0.140000	0.998841 0.003477	0.002314 0.006942	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.002314 0.006942	
4 32 10 0.150000	0.999441 0.001534	0.001113 0.003079	0.000087 0.000260	0.000623 0.001869	0.000736 0.001948	0.000736 0.001948	0.000773 0.002159	0.001079 0.003079	0.000663 0.001988	0.000636 0.001647	0.001113 0.003079	
4 32 10 0.160000	0.998077 0.003729	0.003840 0.007441	0.000446 0.001338	0.000225 0.000675	0.000856 0.001894	0.000631 0.001894	0.000625 0.001199	0.000463 0.001060	0.000000 0.000000	0.000133 0.000398	0.000486 0.001338	
4 32 10 0.170000	0.998339 0.004984	0.003315 0.009944	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 32 10 0.180000	0.999998 0.000007	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
