3 100 10 0.200000	0.997257 0.005012	0.005476 0.009996	0.001072 0.002914	0.000655 0.003274	0.000000 0.000000	0.000052 0.000258	0.000000 0.000000	0.000279 0.000872	0.001208 0.002714	0.000353 0.001765	0.000000 0.000000	
3 100 10 0.210000	0.998891 0.004458	0.002212 0.008906	0.000041 0.000207	0.000136 0.000447	0.000309 0.001543	0.000000 0.000000	0.000000 0.000000	0.000089 0.000444	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
3 100 10 0.220000	0.998179 0.003776	0.003637 0.007537	0.000494 0.002468	0.000000 0.000000	0.000069 0.000344	0.000000 0.000000	0.000032 0.000160	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000496 0.002248	
3 100 10 0.230000	0.999058 0.004707	0.001878 0.009392	0.000651 0.003257	0.000000 0.000000	0.000212 0.001058	0.000205 0.001024	0.000000 0.000000	0.000209 0.001047	0.000000 0.000000	0.000283 0.001417	0.000323 0.001614	
3 100 10 0.240000	0.996884 0.004788	0.006221 0.009548	0.001170 0.002715	0.000609 0.002258	0.000918 0.002011	0.000700 0.002696	0.000000 0.000000	0.000000 0.000000	0.001466 0.002692	0.000486 0.001802	0.000783 0.002229	
3 100 10 0.250000	0.998558 0.004992	0.002878 0.009960	0.000828 0.004142	0.000847 0.003098	0.000082 0.000411	0.000264 0.001320	0.000478 0.002391	0.000000 0.000000	0.000348 0.001738	0.000000 0.000000	0.000642 0.003212	
3 100 10 0.260000	0.998583 0.004422	0.002830 0.008823	0.000000 0.000000	0.000000 0.000000	0.000110 0.000552	0.000114 0.000453	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000091 0.000453	0.000000 0.000000	
3 100 10 0.270000	0.997923 0.004412	0.004147 0.008801	0.000872 0.003320	0.001171 0.005141	0.000739 0.002796	0.000000 0.000000	0.000343 0.001715	0.000000 0.000000	0.000140 0.000700	0.000000 0.000000	0.000000 0.000000	
3 100 10 0.280000	0.998968 0.004510	0.002040 0.009001	0.000526 0.002628	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000470 0.002232	0.000046 0.000231	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
3 100 10 0.290000	0.998478 0.004745	0.003035 0.009481	0.000000 0.000000	0.000349 0.001745	0.000000 0.000000	0.000000 0.000000	0.000030 0.000151	0.000000 0.000000	0.000066 0.000329	0.000000 0.000000	0.000000 0.000000	
3 100 10 0.300000	0.998345 0.003421	0.003305 0.006831	0.000204 0.001021	0.000091 0.000456	0.000064 0.000182	0.000000 0.000000	0.000000 0.000000	0.000435 0.002177	0.000063 0.000315	0.000406 0.002028	0.000220 0.001101	
